Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,dc1-leaf1a,Ethernet1,spine,dc1-spine1,Ethernet1,True
l3leaf,dc1-leaf1a,Ethernet2,spine,dc1-spine2,Ethernet1,True
l3leaf,dc1-leaf1a,Ethernet5,server,dc1-leaf1-server1,PCI1,True
l3leaf,dc1-leaf1a,Ethernet8,l2leaf,dc1-leaf1c,Ethernet1,True
l3leaf,dc1-leaf1a,Ethernet9,mlag_peer,dc1-leaf1b,Ethernet9,True
l3leaf,dc1-leaf1a,Ethernet10,mlag_peer,dc1-leaf1b,Ethernet10,True
l3leaf,dc1-leaf1b,Ethernet1,spine,dc1-spine1,Ethernet2,True
l3leaf,dc1-leaf1b,Ethernet2,spine,dc1-spine2,Ethernet2,True
l3leaf,dc1-leaf1b,Ethernet5,server,dc1-leaf1-server1,PCI2,True
l3leaf,dc1-leaf1b,Ethernet8,l2leaf,dc1-leaf1c,Ethernet2,True
l3leaf,dc1-leaf1b,Ethernet9,mlag_peer,dc1-leaf1a,Ethernet9,True
l3leaf,dc1-leaf1b,Ethernet10,mlag_peer,dc1-leaf1a,Ethernet10,True
l2leaf,dc1-leaf1c,Ethernet1,l3leaf,dc1-leaf1a,Ethernet8,True
l2leaf,dc1-leaf1c,Ethernet2,l3leaf,dc1-leaf1b,Ethernet8,True
l2leaf,dc1-leaf1c,Ethernet5,server,dc1-leaf1-server1,iLO,True
spine,dc1-spine1,Ethernet1,l3leaf,dc1-leaf1a,Ethernet1,True
spine,dc1-spine1,Ethernet2,l3leaf,dc1-leaf1b,Ethernet1,True
spine,dc1-spine2,Ethernet1,l3leaf,dc1-leaf1a,Ethernet2,True
spine,dc1-spine2,Ethernet2,l3leaf,dc1-leaf1b,Ethernet2,True
